,Title,City,Price,Time,Street,City1
0,Appartement vide 150m² Florida Sidi Maarouf,Casablanca / Sidi Maarouf,6000,01 Déc 2022 13:23,Sidi Maarouf,Casablanca
1,Un appartement à louer pour un couple,Casablanca / Sidi Maarouf,4300,01 Déc 2022 10:38,Sidi Maarouf,Casablanca
2,CHERCHE APPART PRES DE FAC DE MEDECINE,Casablanca,4000,01 Déc 2022 10:38,Casablanca,Casablanca
4,Appartement à louer à Nour Californie,Casablanca / Ain Chok,6000,01 Déc 2022 10:37,Ain Chok,Casablanca
5,Un appartement à louer à lotissement hamza 100 m²,Casablanca / Sidi Maarouf,4000,01 Déc 2022 10:37,Sidi Maarouf,Casablanca
6,Part loue très bel appart ensoleillé bien agencé,Casablanca / Maarif,6300,01 Déc 2022 10:37,Maarif,Casablanca
7,Location,Casablanca / Errahma,1600,30 Nov 2022 17:30,Errahma,Casablanca
8,Appartement F3 NEUF 43m² 2ème étg. à Beauséjour,Casablanca / Beauséjour,5500,30 Nov 2022 13:35,Beauséjour,Casablanca
9,Location appartement mobilier,Casablanca,5000,30 Nov 2022 13:34,Casablanca,Casablanca
10,Appartement plein centre 2 Mars,Casablanca,5500,29 Nov 2022 23:33,Casablanca,Casablanca
11,Appart meuble bd med 5 4500 dh ttc,Casablanca / Centre ville,4500,29 Nov 2022 20:58,Centre ville,Casablanca
12,Appartement à louer à oulfa,Casablanca / Oulfa,3000,29 Nov 2022 20:57,Oulfa,Casablanca
13,BEL APPARTEMENT A DAR BOUAZZA,Casablanca / Dar Bouazza,8000,29 Nov 2022 20:32,Dar Bouazza,Casablanca
14,Appartement 90m² au 3ème ensoleillé Résd. Joumeira,Casablanca / Maarif,6000,29 Nov 2022 11:59,Maarif,Casablanca
15,Location appartement,Casablanca,1700,29 Nov 2022 11:59,Casablanca,Casablanca
16,Appartement a louer a oulfa,Casablanca / Oulfa,3500,28 Nov 2022 23:31,Oulfa,Casablanca
17,دار مدينه قديمه,Casablanca / Centre ville,1300,28 Nov 2022 19:44,Centre ville,Casablanca
18,Bel appartement ensoleillé 82m² à louer Belvedere,Casablanca,4800,28 Nov 2022 17:18,Casablanca,Casablanca
